material_id,formula_pretty,formula_anonymous,chemsys,volume,density,nsites,elements,band_gap,formation_energy_per_atom,energy_above_hull,energy_per_atom,is_stable,theoretical,cbm,vbm,is_gap_direct,collected_at,crystal_system,space_group,point_group,query_type,structure_volume,structure_num_sites,structure_formula
mp-149,Si,A,Si,40.32952684741405,2.312800253345134,2.0,Si,0.6105,0.0,0.0,-8.773764595,True,False,6.227,5.6165,False,2025-11-15T11:56:43.314428,Cubic,,m-3m,specific_ids,40.32952684741405,2.0,Si
mp-13,Fe,A,Fe,23.468168469356993,7.902858241785766,2.0,Fe,0.0,0.0,0.0,-8.47002121,True,False,,,False,2025-11-15T11:56:43.315062,Cubic,,mmm,specific_ids,23.468168469356993,2.0,Fe
mp-390,TiO2,AB2,O-Ti,68.78397225482972,3.856139057916947,6.0,"O,Ti",2.0586,-3.5080554519444442,0.0,-9.438526794166666,True,False,3.9525,1.8939,False,2025-11-15T11:56:43.315285,Tetragonal,,4/mmm,specific_ids,68.78397225482972,6.0,TiO2
mp-2534,GaAs,AB,As-Ga,47.531859385343836,5.05320036242451,2.0,"As,Ga",0.18610000000000002,-0.446277056249999,0.0,-13.521430525,True,False,2.8565,2.6704,True,2025-11-15T11:56:43.315519,Cubic,,-43m,specific_ids,47.5318593853438,2.0,GaAs
mp-22526,LiCoO2,ABC2,Co-Li-O,31.733696867729034,5.121430775621985,4.0,"Co,Li,O",0.6623,-1.745659770833334,0.0,-6.48022517,True,False,4.4885,3.8262,False,2025-11-15T11:56:43.315746,Trigonal,,-3m,specific_ids,31.733696867729037,4.0,LiCoO2
mp-1143,Al2O3,A2B3,Al-O,87.42001939959368,3.873499124580814,10.0,"Al,O",5.853700000000001,-3.426551008,0.0,-7.893557943,True,False,11.6636,5.8099,True,2025-11-15T11:56:43.316013,Trigonal,,-3m,specific_ids,87.42001939959368,10.0,Al2O3
mp-804,GaN,AB,Ga-N,45.72832358928343,6.080976820120369,4.0,"Ga,N",1.726499999999999,-0.670049406875,0.0,-10.9558127175,True,False,5.1201,3.3936,True,2025-11-15T11:56:43.316238,Hexagonal,,6mm,specific_ids,45.72832358928343,4.0,GaN
mp-1265,MgO,AB,Mg-O,18.4427700910204,3.628903381952319,2.0,"Mg,O",4.4292,-3.03830917,0.0,-6.32752468,True,False,7.0133,2.5841000000000003,True,2025-11-15T11:56:43.316430,Cubic,,m-3m,specific_ids,18.4427700910204,2.0,MgO
mp-571,TiNi,AB,Ni-Ti,26.679065565689605,6.632455200383208,2.0,"Ni,Ti",0.0,-0.347360651666666,0.04849437499999901,-7.185175,False,False,,,False,2025-11-15T11:56:43.316648,Cubic,,m-3m,specific_ids,26.679065565689605,2.0,TiNi
mp-1000,BaTe,AB,Ba-Te,89.09415786940792,4.9377158257892155,2.0,"Ba,Te",1.593,-2.003574658333334,0.0,-4.534715075000001,True,False,3.6383,2.0453,False,2025-11-15T11:56:43.316837,Cubic,,m-3m,specific_ids,89.09415786940792,2.0,BaTe
mp-1244933,Si,,,1793.7649376717561,2.599954373928591,100.0,Si,0.0,0.34929145859999905,0.34929145859999905,,False,,,,,2025-11-15T11:56:45.750321,Triclinic,,1,elements_Si,,,
mp-1120447,Si,,,163.06526777122875,2.288019789495501,8.0,Si,0.0,0.37250966749999903,0.37250966749999903,,False,,,,,2025-11-15T11:56:45.750451,Triclinic,,1,elements_Si,,,
mp-1244971,Si,,,1921.0737732472721,2.427656376577443,100.0,Si,0.0030999999999990003,0.31675151759999903,0.31675151760000003,,False,,,,,2025-11-15T11:56:45.750525,Triclinic,,1,elements_Si,,,
mp-1244990,Si,,,1750.9728471941326,2.6634947554856963,100.0,Si,0.0,0.36627406769999904,0.36627406770000004,,False,,,,,2025-11-15T11:56:45.750587,Triclinic,,1,elements_Si,,,
mp-1245242,Si,,,1915.2205726555178,2.435075657647642,100.0,Si,0.0,0.31691021609999803,0.31691021610000003,,False,,,,,2025-11-15T11:56:45.750646,Triclinic,,1,elements_Si,,,
mp-1245041,Si,,,1918.192245426189,2.431303226576872,100.0,Si,0.027599999999999004,0.310314400899999,0.310314400899999,,False,,,,,2025-11-15T11:56:45.750703,Triclinic,,1,elements_Si,,,
mp-1403870,Si,,,174.1076902939462,2.142906835476681,8.0,Si,0.0,1.250752009999999,1.250752009999999,,False,,,,,2025-11-15T11:56:45.750761,Triclinic,,1,elements_Si,,,
mp-644693,Si,,,174.10767849877462,2.142906980650944,8.0,Si,0.0,0.41511927999999904,0.41511927999999904,,False,,,,,2025-11-15T11:56:45.750824,Triclinic,,1,elements_Si,,,
mp-676011,Si,,,159.13142937906494,2.344581212497035,8.0,Si,0.0,0.44703532249999905,0.44703532249999905,,False,,,,,2025-11-15T11:56:45.750882,Triclinic,,1,elements_Si,,,
mp-988210,Si,,,174.1076902939462,2.142906835476681,8.0,Si,0.0,1.9596229937499992,1.9596229937499992,,False,,,,,2025-11-15T11:56:45.750966,Triclinic,,1,elements_Si,,,
mp-1079297,Si,,,167.23079840226276,2.231027796342244,8.0,Si,0.2735,0.08220610625000001,0.08220610625000001,,False,,,,,2025-11-15T11:56:45.751025,Monoclinic,,2/m,elements_Si,,,
mp-1204046,Si,,,2445.0737122623686,2.021832466823777,106.0,Si,0.15080000000000002,0.178885465377357,0.178885465377357,,False,,,,,2025-11-15T11:56:45.751080,Tetragonal,,4/mmm,elements_Si,,,
mp-1056579,Si,,,13.978871817111228,3.336254210293773,1.0,Si,0.0,0.48407213000000104,0.48407213000000104,,False,,,,,2025-11-15T11:56:45.751134,Tetragonal,,4/mmm,elements_Si,,,
mp-999200,Si,,,85.03542034009838,2.193771478683577,4.0,Si,0.439799999999999,0.11663319999999901,0.11663319999999901,,False,,,,,2025-11-15T11:56:45.751188,Tetragonal,,4/mmm,elements_Si,,,
mp-92,Si,,,29.899999100890987,3.119536545645218,2.0,Si,0.0,0.28873980000000005,0.28873980000000005,,False,,,,,2025-11-15T11:56:45.751243,Tetragonal,,4/mmm,elements_Si,,,
mp-32800,Ac2S3,,,,,,"Ac,S",2.2962,-2.4930635934375,0.0,,True,True,7.0976,4.8014,False,2025-11-15T11:56:53.950363,Tetragonal,,-42m,semiconductors,,,
mp-866101,AcCrO3,,,,,,"Ac,Cr,O",2.0031,-3.1389721295,0.0,,True,True,8.2567,6.2536,False,2025-11-15T11:56:53.950410,Cubic,,m-3m,semiconductors,,,
mp-1183053,AcGaO3,,,,,,"Ac,Ga,O",2.895900000000001,-3.063252617,0.0,,True,True,8.1819,5.286,False,2025-11-15T11:56:53.950431,Cubic,,m-3m,semiconductors,,,
mp-861867,AcI3,,,,,,"Ac,I",2.5892,-1.801003203125001,0.0,,True,True,2.2729,-0.3163,False,2025-11-15T11:56:53.950449,Hexagonal,,6/mmm,semiconductors,,,
mp-567334,Ag(BCl)6,,,,,,"Ag,B,Cl",2.7028,-0.736950766538461,0.0,,True,False,3.0934,0.3906,True,2025-11-15T11:56:53.950469,Cubic,,m-3,semiconductors,,,
mp-560328,Ag15P4S16Cl3,,,,,,"Ag,Cl,P,S",1.288799999999999,-0.48195274154135204,0.0,,True,False,3.4566,2.1678,False,2025-11-15T11:56:53.950487,Cubic,,-43m,semiconductors,,,
mp-1215118,Ag16HgAs4S15,,,,,,"Ag,As,Hg,S",1.1099,-0.29417095789351705,0.005915221319444001,,False,True,3.5779,2.468,True,2025-11-15T11:56:53.950505,Monoclinic,,2,semiconductors,,,
mp-1247866,Ag2B8O13,,,,,,"Ag,B,O",2.9324,-2.503243793550724,0.007411922173912001,,False,True,3.6098,0.6774,False,2025-11-15T11:56:53.950526,Monoclinic,,2,semiconductors,,,
mp-759792,Ag2B8O13,,,,,,"Ag,B,O",2.858,-2.499107242137681,0.011548473586955,,False,True,3.9386,1.0806,False,2025-11-15T11:56:53.950543,Triclinic,,1,semiconductors,,,
mp-559071,Ag2Bi2S3Cl2,,,,,,"Ag,Bi,Cl,S",1.6367999999999991,-0.7483002703703701,0.004958104166663001,,False,False,4.6206,2.9838,False,2025-11-15T11:56:53.950562,Triclinic,,-1,semiconductors,,,
mp-556345,Ag2BrNO3,,,,,,"Ag,Br,N,O",1.6045,-0.6550704147619041,0.019580985714285,,False,False,2.2077,0.6032000000000001,False,2025-11-15T11:56:53.950581,Orthorhombic,,mmm,semiconductors,,,
mp-1199990,Ag2C4I3N,,,,,,"Ag,C,I,N",1.0895,0.8733057161666661,1.093198192625,,False,True,1.4418,0.3523,False,2025-11-15T11:56:53.950600,Orthorhombic,,mmm,semiconductors,,,
mp-574486,Ag2CN2,,,,,,"Ag,C,N",1.0037,0.268039843333338,0.268039843333333,,False,False,2.9783,1.9746000000000001,True,2025-11-15T11:56:53.950617,Monoclinic,,2/m,semiconductors,,,
mp-680067,Ag2CSNClO4,,,,,,"Ag,C,Cl,N,O,S",2.5318,-0.246439743583333,0.8971311421000001,,False,False,3.4646,0.9328000000000001,True,2025-11-15T11:56:53.950635,Monoclinic,,2/m,semiconductors,,,
mp-1196546,Ag2Ge(S2O7)3,,,,,,"Ag,Ge,O,S",2.8072,-1.599947565999999,0.0,,True,False,2.9713000000000003,0.1641,False,2025-11-15T11:56:53.950652,Trigonal,,-3,semiconductors,,,
mp-554988,Ag2Ge2O5,,,,,,"Ag,Ge,O",1.0401,-1.485430639074073,0.05755108907407001,,False,False,2.6665,1.6264,False,2025-11-15T11:56:53.950669,Monoclinic,,2/m,semiconductors,,,
mp-861942,Ag2GePbS4,,,,,,"Ag,Ge,Pb,S",1.3699,-0.550358512291666,0.0,,True,False,4.99,3.6201,False,2025-11-15T11:56:53.950687,Orthorhombic,,mm2,semiconductors,,,
mp-1202797,Ag2H12C3S3(BrN3)2,,,,,,"Ag,Br,C,H,N,S",2.7767,-0.43362197752976106,0.035553705269679,,False,True,2.737,-0.0397,True,2025-11-15T11:56:53.950705,Monoclinic,,2/m,semiconductors,,,
mp-723002,Ag2H12S(NO)4,,,,,,"Ag,H,N,O,S",2.9514,-0.7796728774275351,0.026502457499999,,False,False,2.7064,-0.245,True,2025-11-15T11:56:53.950724,Tetragonal,,-42m,semiconductors,,,
mp-778019,Ag2H16O9,,,,,,"Ag,H,O",2.5301,-1.095874616975308,0.076976250185183,,False,True,1.6034000000000002,-0.9267000000000001,True,2025-11-15T11:56:53.950742,Monoclinic,,2/m,semiconductors,,,
