material_id,formula_pretty,formula_anonymous,chemsys,volume,density,nsites,elements,band_gap,formation_energy_per_atom,energy_above_hull,energy_per_atom,is_stable,theoretical,cbm,vbm,is_gap_direct,collected_at,crystal_system,space_group,point_group,query_type
mp-32800,Ac2S3,,,,,,"Ac,S",2.2962,-2.4930635934375,0.0,,True,True,7.0976,4.8014,False,2025-11-15T11:56:53.950363,Tetragonal,,-42m,semiconductors
mp-866101,AcCrO3,,,,,,"Ac,Cr,O",2.0031,-3.1389721295,0.0,,True,True,8.2567,6.2536,False,2025-11-15T11:56:53.950410,Cubic,,m-3m,semiconductors
mp-1183053,AcGaO3,,,,,,"Ac,Ga,O",2.895900000000001,-3.063252617,0.0,,True,True,8.1819,5.286,False,2025-11-15T11:56:53.950431,Cubic,,m-3m,semiconductors
mp-861867,AcI3,,,,,,"Ac,I",2.5892,-1.801003203125001,0.0,,True,True,2.2729,-0.3163,False,2025-11-15T11:56:53.950449,Hexagonal,,6/mmm,semiconductors
mp-567334,Ag(BCl)6,,,,,,"Ag,B,Cl",2.7028,-0.736950766538461,0.0,,True,False,3.0934,0.3906,True,2025-11-15T11:56:53.950469,Cubic,,m-3,semiconductors
mp-560328,Ag15P4S16Cl3,,,,,,"Ag,Cl,P,S",1.288799999999999,-0.48195274154135204,0.0,,True,False,3.4566,2.1678,False,2025-11-15T11:56:53.950487,Cubic,,-43m,semiconductors
mp-1215118,Ag16HgAs4S15,,,,,,"Ag,As,Hg,S",1.1099,-0.29417095789351705,0.005915221319444001,,False,True,3.5779,2.468,True,2025-11-15T11:56:53.950505,Monoclinic,,2,semiconductors
mp-1247866,Ag2B8O13,,,,,,"Ag,B,O",2.9324,-2.503243793550724,0.007411922173912001,,False,True,3.6098,0.6774,False,2025-11-15T11:56:53.950526,Monoclinic,,2,semiconductors
mp-759792,Ag2B8O13,,,,,,"Ag,B,O",2.858,-2.499107242137681,0.011548473586955,,False,True,3.9386,1.0806,False,2025-11-15T11:56:53.950543,Triclinic,,1,semiconductors
mp-559071,Ag2Bi2S3Cl2,,,,,,"Ag,Bi,Cl,S",1.6367999999999991,-0.7483002703703701,0.004958104166663001,,False,False,4.6206,2.9838,False,2025-11-15T11:56:53.950562,Triclinic,,-1,semiconductors
mp-556345,Ag2BrNO3,,,,,,"Ag,Br,N,O",1.6045,-0.6550704147619041,0.019580985714285,,False,False,2.2077,0.6032000000000001,False,2025-11-15T11:56:53.950581,Orthorhombic,,mmm,semiconductors
mp-1199990,Ag2C4I3N,,,,,,"Ag,C,I,N",1.0895,0.8733057161666661,1.093198192625,,False,True,1.4418,0.3523,False,2025-11-15T11:56:53.950600,Orthorhombic,,mmm,semiconductors
mp-574486,Ag2CN2,,,,,,"Ag,C,N",1.0037,0.268039843333338,0.268039843333333,,False,False,2.9783,1.9746000000000001,True,2025-11-15T11:56:53.950617,Monoclinic,,2/m,semiconductors
mp-680067,Ag2CSNClO4,,,,,,"Ag,C,Cl,N,O,S",2.5318,-0.246439743583333,0.8971311421000001,,False,False,3.4646,0.9328000000000001,True,2025-11-15T11:56:53.950635,Monoclinic,,2/m,semiconductors
mp-1196546,Ag2Ge(S2O7)3,,,,,,"Ag,Ge,O,S",2.8072,-1.599947565999999,0.0,,True,False,2.9713000000000003,0.1641,False,2025-11-15T11:56:53.950652,Trigonal,,-3,semiconductors
mp-554988,Ag2Ge2O5,,,,,,"Ag,Ge,O",1.0401,-1.485430639074073,0.05755108907407001,,False,False,2.6665,1.6264,False,2025-11-15T11:56:53.950669,Monoclinic,,2/m,semiconductors
mp-861942,Ag2GePbS4,,,,,,"Ag,Ge,Pb,S",1.3699,-0.550358512291666,0.0,,True,False,4.99,3.6201,False,2025-11-15T11:56:53.950687,Orthorhombic,,mm2,semiconductors
mp-1202797,Ag2H12C3S3(BrN3)2,,,,,,"Ag,Br,C,H,N,S",2.7767,-0.43362197752976106,0.035553705269679,,False,True,2.737,-0.0397,True,2025-11-15T11:56:53.950705,Monoclinic,,2/m,semiconductors
mp-723002,Ag2H12S(NO)4,,,,,,"Ag,H,N,O,S",2.9514,-0.7796728774275351,0.026502457499999,,False,False,2.7064,-0.245,True,2025-11-15T11:56:53.950724,Tetragonal,,-42m,semiconductors
mp-778019,Ag2H16O9,,,,,,"Ag,H,O",2.5301,-1.095874616975308,0.076976250185183,,False,True,1.6034000000000002,-0.9267000000000001,True,2025-11-15T11:56:53.950742,Monoclinic,,2/m,semiconductors
