material_id,formula_pretty,formula_anonymous,chemsys,volume,density,nsites,elements,band_gap,formation_energy_per_atom,energy_above_hull,energy_per_atom,is_stable,theoretical,cbm,vbm,is_gap_direct,collected_at,crystal_system,space_group,point_group,query_type,structure_volume,structure_num_sites,structure_formula
mp-149,Si,A,Si,40.32952684741405,2.312800253345134,2,Si,0.6105,0.0,0.0,-8.773764595,True,False,6.227,5.6165,False,2025-11-15T11:56:43.314428,Cubic,,m-3m,specific_ids,40.32952684741405,2,Si
mp-13,Fe,A,Fe,23.468168469356993,7.902858241785766,2,Fe,0.0,0.0,0.0,-8.47002121,True,False,,,False,2025-11-15T11:56:43.315062,Cubic,,mmm,specific_ids,23.468168469356993,2,Fe
mp-390,TiO2,AB2,O-Ti,68.78397225482972,3.856139057916947,6,"O,Ti",2.0586,-3.5080554519444442,0.0,-9.438526794166666,True,False,3.9525,1.8939,False,2025-11-15T11:56:43.315285,Tetragonal,,4/mmm,specific_ids,68.78397225482972,6,TiO2
mp-2534,GaAs,AB,As-Ga,47.531859385343836,5.05320036242451,2,"As,Ga",0.18610000000000002,-0.446277056249999,0.0,-13.521430525,True,False,2.8565,2.6704,True,2025-11-15T11:56:43.315519,Cubic,,-43m,specific_ids,47.5318593853438,2,GaAs
mp-22526,LiCoO2,ABC2,Co-Li-O,31.733696867729034,5.121430775621985,4,"Co,Li,O",0.6623,-1.745659770833334,0.0,-6.48022517,True,False,4.4885,3.8262,False,2025-11-15T11:56:43.315746,Trigonal,,-3m,specific_ids,31.733696867729037,4,LiCoO2
mp-1143,Al2O3,A2B3,Al-O,87.42001939959368,3.873499124580814,10,"Al,O",5.853700000000001,-3.426551008,0.0,-7.893557943,True,False,11.6636,5.8099,True,2025-11-15T11:56:43.316013,Trigonal,,-3m,specific_ids,87.42001939959368,10,Al2O3
mp-804,GaN,AB,Ga-N,45.72832358928343,6.080976820120369,4,"Ga,N",1.726499999999999,-0.670049406875,0.0,-10.9558127175,True,False,5.1201,3.3936,True,2025-11-15T11:56:43.316238,Hexagonal,,6mm,specific_ids,45.72832358928343,4,GaN
mp-1265,MgO,AB,Mg-O,18.4427700910204,3.628903381952319,2,"Mg,O",4.4292,-3.03830917,0.0,-6.32752468,True,False,7.0133,2.5841000000000003,True,2025-11-15T11:56:43.316430,Cubic,,m-3m,specific_ids,18.4427700910204,2,MgO
mp-571,TiNi,AB,Ni-Ti,26.679065565689605,6.632455200383208,2,"Ni,Ti",0.0,-0.347360651666666,0.04849437499999901,-7.185175,False,False,,,False,2025-11-15T11:56:43.316648,Cubic,,m-3m,specific_ids,26.679065565689605,2,TiNi
mp-1000,BaTe,AB,Ba-Te,89.09415786940792,4.9377158257892155,2,"Ba,Te",1.593,-2.003574658333334,0.0,-4.534715075000001,True,False,3.6383,2.0453,False,2025-11-15T11:56:43.316837,Cubic,,m-3m,specific_ids,89.09415786940792,2,BaTe
